WORKER_ID,FIRST_NAME,LAST_NAME,SALARY,JOINING_DATE,DEPARTMENT
1,Rohit,Gupta,270000,2014-01-13 09:00:00,HR
2,Satish,Kumar,75000.45,2014-01-20 09:00:00,Account
3,Monika,Arora,100000,2014-02-20 09:00:00,HR
4,Vishal,Singhal,300000.79,2014-02-20 09:00:00,HR
5,Amitabh,Singh,500000,2014-02-20 09:00:00,Admin
6,Geetika,Chauhan,90000,2014-04-11 09:00:00,Admin
7,Niharika,Verma,80000,2014-06-11 09:00:00,Admin
8,Vivek,Bhati,500000,2014-06-11 09:00:00,Admin
9,Vipul,Diwan,200000,2014-06-11 09:00:00,Account
10,Rakesh,Sharma,150000,2014-06-11 09:00:00,IT
11,Ayush,Dhiman,150000,2014-06-11 09:00:00,IT
12,Sandhya,Sehgal,230000,2014-07-11 09:00:00,IT
13,Ahmad,Sheikh,320000,2015-01-10 09:00:00,Finance
14,Rohan,Kalia,290000,2015-01-13 09:00:00,Finance
15,Mohit,Sharma,90000,2016-02-14 09:00:00,Finance
